회차,등위,상호명,당첨방식,소재지
1209,1등,진양호,반자동,경남 진주시 남강로 58 1층
1209,1등,광나루복권방,자동,서울 광진구 아차산로 591
1209,1등,코리아25옥계점,자동,경북 구미시 산호대로25길 18-4
1209,1등,명당로또 풍남문점,자동,전북 전주시 완산구 풍남문2길 34
1209,1등,로또복권두정점,자동,충남 천안시 서북구 두정로 251 대원빌딩104호
1209,1등,동남슈퍼,자동,전북 부안군 번영로 173
1209,1등,명성복권방,수동,경기 화성시 경기대로 1043
1209,1등,올인 (all in),자동,경기 화성시 3.1만세로 1147
1209,1등,1등로또,자동,경기 화성시 동탄대로14길 5-33 101호
1209,1등,좋은날,수동,경기 수원시 팔달구 팔달문로 165 104호(우만동)
1209,1등,로또휴게실,자동,경기 용인시 기흥구 용구대로 1885
1209,1등,대박마트,수동,충남 천안시 동남구 봉서8길 13 봉명청솔아파트상가103호
1209,1등,해븐복권방,수동,경기 수원시 영통구 동수원로537번길 57 1층 103호
1209,1등,해븐복권방,수동,경기 수원시 영통구 동수원로537번길 57 1층 103호
1209,1등,갑부복권판매점,수동,서울 용산구 대사관로 80
1209,1등,어썸위크,수동,서울 중구 퇴계로87길 41 1층
1209,1등,복권나라(중흥점),자동,광주 북구 우치로 26-1
1209,1등,청구마트,자동,대구 북구 검단로 34 청구아파트상가108동102호
1209,1등,동인천황금로또,자동,인천 중구 참외전로 110 1층
1209,1등,대박신화복권판매점,자동,인천 미추홀구 인하로 267
1209,1등,알리바이,자동,광주 광산구 수등로 253 1층 알리바이
1209,1등,다다복권,반자동,세종 충현로 52 A동 9호
1208,1등,지에스25 안성칠곡,자동,경기 안성시 만세로 1182 지에스25 안성칠곡
1208,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr)
1208,1등,로또복권,자동,경기 오산시 성호새싹길 11
1208,1등,왕대박 복권판매점,자동,대전 유성구 문화원로 54 서은빌딩 102호(궁동)
1208,1등,가로판매점,자동,서울 영등포구 양평로 46 가판
1208,1등,고척대박복권&카페,자동,서울 구로구 경인로47길 68 1층(고척동)
1207,1등,후연로또점,수동,인천 계양구 황어로 130 일부호
1207,1등,로또명당진하점,자동,울산 울주군 해맞이로 1578
1207,1등,고양행복복권,자동,경기 고양시 덕양구 삼송로 142
1207,1등,삼성복권방,자동,경기 동두천시 어수로 100-1
1207,1등,대박복권방,자동,경기 안산시 단원구 신길중앙로1길 40 101호
1207,1등,행운복권방,자동,경기 의정부시 충의로 55
1207,1등,로또카페,자동,경기 평택시 관광특구로 13 1층102호
1207,1등,천하명당초량점,자동,부산 동구 중앙대로221번길 3
1207,1등,대산슈퍼,수동,충남 천안시 동남구 복구정3길 1
1207,1등,제일마트,자동,전북 군산시 진포로 145
1207,1등,대청행복복권,자동,경남 김해시 대청로 121 대청프라자 B동 104호
1207,1등,옥천로또,수동,충북 옥천군 삼양로 8 세븐일레븐
1207,1등,터미널분식,자동,충남 부여군 부장대로 65
1207,1등,행운의명당로-토토,자동,충북 청주시 서원구 모충로 36
1207,1등,편의점사랑,수동,서울 강서구 곰달래로25길 57 1층
1207,1등,편의점사랑,수동,서울 강서구 곰달래로25길 57 1층
1207,1등,영월로또명당,자동,강원 영월군 중앙로 44
1206,1등,불티나,자동,강원 춘천시 후석로462번길 94-1 1층
1206,1등,스타복권판매점,수동,강원 춘천시 방송길 104 1층 104호
1206,1등,대운로또(씨스페이스),자동,경기 화성시 사랑길 90 456호
1206,1등,에스비 상사,반자동,서울 중구 퇴계로86길 29 1층
1206,1등,청솔서점,자동,부산 사하구 하신번영로 195
1206,1등,신세계슈퍼,자동,서울 영등포구 대림로 191
1206,1등,대박천하복권방,수동,서울 은평구 연서로 150 1층 1호
1206,1등,로또명당인주점,자동,충남 아산시 서해로 519-2
1206,1등,복권세계,수동,서울 동작구 신대방길 8
1206,1등,잉크와복권,자동,서울 강서구 가로공원로76가길 12
1206,1등,천만불로또복권,반자동,전북 남원시 용성로 207
1206,1등,우성 명당 복권방,수동,경기 안산시 상록구 본오로 133 우성아파트상가 114호
1206,1등,로또킹,자동,서울 영등포구 영중로 2 1층(영등포동3가)
1206,1등,로또육사오,수동,경기 안산시 상록구 일동로 22 원영빌딩1층106호
1206,1등,화신복권방,반자동,제주 제주시 중앙로 183
1205,1등,대박복권판매점,자동,인천 남동구 구월남로 190 101호
1205,1등,황금대박점,자동,대구 수성구 지범로 62 1층 복권판매점
1205,1등,복권명당신기점,자동,대구 동구 율하동로24길 49
1205,1등,행운강림 로또방,자동,경기 안산시 상록구 반석로 54 126동 167호
1205,1등,기장슈퍼,자동,부산 기장군 차성동로 69
1205,1등,운수대통복권방,수동,충남 천안시 동남구 대흥로 122 중앙시장 입구
1205,1등,별복권방,자동,충북 청주시 흥덕구 덕암로114번길 28 1층
1205,1등,명당,자동,경남 진주시 동부로 1356 1층 일부호
1205,1등,부일카서비스,자동,부산 동구 자성로133번길 35
1205,1등,평생꽃길대연점,자동,부산 남구 수영로266번길 37
1204,1등,인현동지하가판,자동,인천 중구 참외전로 132-2 동인천역 78번 출구 지하1층 가판대
1204,1등,로또명당인주점,자동,충남 아산시 서해로 519-2
1204,1등,대박마트복권방,자동,충남 아산시 음봉로 844 태화상가1층103호
1204,1등,썬마트,자동,충북 청주시 흥덕구 진재로23번길 25
1204,1등,로또복권방,자동,충북 청주시 청원구 내수로 725-1 디지털프라자 옆
1204,1등,스마일로또,자동,충북 제천시 신죽하로 83-11 1층 GS25 편의점 내
1204,1등,제일복권,반자동,경남 양산시 양산역2길 7 103호 복권판매점
1204,1등,한빛3단지 천지인,자동,경기 파주시 와석순환로 66 103호
1204,1등,로또편의점,자동,경기 김포시 김포한강11로 288-32 골든스퀘어101호
1204,1등,로터리 클럽,자동,인천 미추홀구 인하로 250-1 1층
1204,1등,방이먹자골목 천하명당 일등복권,수동,서울 송파구 오금로11길 24 제1층 주차장 옆
1204,1등,복슈퍼,자동,경남 김해시 가야로 19 푸르지오상가 111호 복권판매점
1204,1등,행운로또복권방,자동,서울 성북구 보국문로 34-1
1204,1등,가판100호,자동,서울 중구 을지로 113-4
1204,1등,대박복권방,수동,인천 부평구 영성로 50-1 1층
1204,1등,희망복권방,수동,충남 예산군 예산로 241 1층
1204,1등,조례로또복권방,자동,전남 순천시 봉화2길 58 조례로또복권방
1204,1등,초이스 복권판매점,자동,경기 안성시 석정2길 20 1층 104호
1203,1등,와이에스컴퍼니,자동,대구 남구 두류공원로 105 1층
1203,1등,대박슈퍼,수동,인천 부평구 경원대로 1438
1203,1등,일등커피로또판매점,자동,대구 수성구 동대구로 371 1층일등커피숍내
1203,1등,대왕로또,수동,부산 영도구 남항로 35
1203,1등,터미널식품,자동,경기 의정부시 동일로 640
1203,1등,행운모아 복권방,수동,경기 수원시 권선구 서수원로577번길 305 제상가동 비205호(금곡동 수원모아미래도센트럴타운2단지)
1203,1등,일주일행복로또(파장매표소),반자동,경기 수원시 장안구 파장로82번길 3
1203,1등,노다지복권,수동,강원 횡성군 문정로 52
1203,1등,진평양행,자동,강원 강릉시 임영로 107
1203,1등,행복한복권방,자동,전북 전주시 덕진구 혁신로 465
1203,1등,행복한복권방,자동,전북 전주시 덕진구 혁신로 465
1203,1등,행복로또방,수동,경남 김해시 김해대로2529번길 31 100-3호 복권판매점
1203,1등,황금알복권,수동,전남 광양시 광포로 39 1층 (광영동)
1203,1등,지에스25(울산우정선경점)로또,자동,울산 중구 우정3길 12
1203,1등,동성슈퍼,자동,울산 울주군 북문1길 7 101호
1203,1등,영앤로또,자동,경기 남양주시 다산중앙로123번길 47 메트로3단지 상기 106호
1203,1등,두근두근로또복권,자동,경기 고양시 일산동구 일산로 453 1층 106호
1203,1등,동하인터내셔날,수동,경기 남양주시 진건오남로884번길 23 105106호
1203,1등,만물전파사,자동,경기 남양주시 마석중앙로 74
1203,1등,행운복권방,자동,경기 의정부시 충의로 55
1203,1등,행복점빵,수동,경기 고양시 덕양구 지축1로 41 108호
1202,1등,씨스페이스 어방점,수동,경남 김해시 인제로170번길 15-6 편의점 내
1202,1등,KOREA마트,자동,경북 구미시 임은길 64
1202,1등,드림복권방,자동,경기 수원시 권선구 정조로 515
1202,1등,좋은터,수동,인천 계양구 효서로 204 1층
1202,1등,선경로또,자동,충북 제천시 용두대로 59 1층
1202,1등,월드로또복권 판매점,자동,서울 강남구 논현로63길 16 1층 102호
