회차,등위,상호명,당첨방식,소재지,cleaned_address
1209,1등,진양호,반자동,경남 진주시 남강로 58 1층,경남 진주시 남강로 58
1209,1등,광나루복권방,자동,서울 광진구 아차산로 591,서울 광진구 아차산로 591
1209,1등,코리아25옥계점,자동,경북 구미시 산호대로25길 18-4,경북 구미시 산호대로 25길 18-4
1209,1등,명당로또 풍남문점,자동,전북 전주시 완산구 풍남문2길 34,전북 전주시 완산구 풍남문2길 34
1209,1등,로또복권두정점,자동,충남 천안시 서북구 두정로 251 대원빌딩104호,충남 천안시 서북구 두정로 251
1209,1등,동남슈퍼,자동,전북 부안군 번영로 173,전북 부안군 번영로 173
1209,1등,명성복권방,수동,경기 화성시 경기대로 1043,경기 화성시 경기대로 1043
1209,1등,올인 (all in),자동,경기 화성시 3.1만세로 1147,경기 화성시 3.1만세로 1147
1209,1등,1등로또,자동,경기 화성시 동탄대로14길 5-33 101호,경기 화성시 동탄대로 14길 5-33
1209,1등,좋은날,수동,경기 수원시 팔달구 팔달문로 165 104호(우만동),경기 수원시 팔달구 팔달문로 165
1209,1등,로또휴게실,자동,경기 용인시 기흥구 용구대로 1885,경기 용인시 기흥구 용구대로 1885
1209,1등,대박마트,수동,충남 천안시 동남구 봉서8길 13 봉명청솔아파트상가103호,충남 천안시 동남구 봉서8길 13
1209,1등,해븐복권방,수동,경기 수원시 영통구 동수원로537번길 57 1층 103호,경기 수원시 영통구 동수원로 537번길 57
1209,1등,해븐복권방,수동,경기 수원시 영통구 동수원로537번길 57 1층 103호,경기 수원시 영통구 동수원로 537번길 57
1209,1등,갑부복권판매점,수동,서울 용산구 대사관로 80,서울 용산구 대사관로 80
1209,1등,어썸위크,수동,서울 중구 퇴계로87길 41 1층,서울 중구 퇴계로 87길 41
1209,1등,복권나라(중흥점),자동,광주 북구 우치로 26-1,광주 북구 우치로 26-1
1209,1등,청구마트,자동,대구 북구 검단로 34 청구아파트상가108동102호,대구 북구 검단로 34
1209,1등,동인천황금로또,자동,인천 중구 참외전로 110 1층,인천 중구 참외전로 110
1209,1등,대박신화복권판매점,자동,인천 미추홀구 인하로 267,인천 미추홀구 인하로 267
1209,1등,알리바이,자동,광주 광산구 수등로 253 1층 알리바이,광주 광산구 수등로 253
1209,1등,다다복권,반자동,세종 충현로 52 A동 9호,세종 충현로 52
1208,1등,지에스25 안성칠곡,자동,경기 안성시 만세로 1182 지에스25 안성칠곡,경기 안성시 만세로 1182
1208,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1208,1등,로또복권,자동,경기 오산시 성호새싹길 11,경기 오산시 성호새싹길 11
1208,1등,왕대박 복권판매점,자동,대전 유성구 문화원로 54 서은빌딩 102호(궁동),대전 유성구 문화원로 54
1208,1등,가로판매점,자동,서울 영등포구 양평로 46 가판,서울 영등포구 양평로 46
1208,1등,고척대박복권&카페,자동,서울 구로구 경인로47길 68 1층(고척동),서울 구로구 경인로 47길 68
1207,1등,후연로또점,수동,인천 계양구 황어로 130 일부호,인천 계양구 황어로 130
1207,1등,로또명당진하점,자동,울산 울주군 해맞이로 1578,울산 울주군 해맞이로 1578
1207,1등,고양행복복권,자동,경기 고양시 덕양구 삼송로 142,경기 고양시 덕양구 삼송로 142
1207,1등,삼성복권방,자동,경기 동두천시 어수로 100-1,경기 동두천시 어수로 100-1
1207,1등,대박복권방,자동,경기 안산시 단원구 신길중앙로1길 40 101호,경기 안산시 단원구 신길중앙로 1길 40
1207,1등,행운복권방,자동,경기 의정부시 충의로 55,경기 의정부시 충의로 55
1207,1등,로또카페,자동,경기 평택시 관광특구로 13 1층102호,경기 평택시 관광특구로 13
1207,1등,천하명당초량점,자동,부산 동구 중앙대로221번길 3,부산 동구 중앙대로 221번길 3
1207,1등,대산슈퍼,수동,충남 천안시 동남구 복구정3길 1,충남 천안시 동남구 복구정3길 1
1207,1등,제일마트,자동,전북 군산시 진포로 145,전북 군산시 진포로 145
1207,1등,대청행복복권,자동,경남 김해시 대청로 121 대청프라자 B동 104호,경남 김해시 대청로 121
1207,1등,옥천로또,수동,충북 옥천군 삼양로 8 세븐일레븐,충북 옥천군 삼양로 8
1207,1등,터미널분식,자동,충남 부여군 부장대로 65,충남 부여군 부장대로 65
1207,1등,행운의명당로-토토,자동,충북 청주시 서원구 모충로 36,충북 청주시 서원구 모충로 36
1207,1등,편의점사랑,수동,서울 강서구 곰달래로25길 57 1층,서울 강서구 곰달래로 25길 57
1207,1등,편의점사랑,수동,서울 강서구 곰달래로25길 57 1층,서울 강서구 곰달래로 25길 57
1207,1등,영월로또명당,자동,강원 영월군 중앙로 44,강원 영월군 중앙로 44
1206,1등,불티나,자동,강원 춘천시 후석로462번길 94-1 1층,강원 춘천시 후석로 462번길 94-1
1206,1등,스타복권판매점,수동,강원 춘천시 방송길 104 1층 104호,강원 춘천시 방송길 104
1206,1등,대운로또(씨스페이스),자동,경기 화성시 사랑길 90 456호,경기 화성시 사랑길 90
1206,1등,에스비 상사,반자동,서울 중구 퇴계로86길 29 1층,서울 중구 퇴계로 86길 29
1206,1등,청솔서점,자동,부산 사하구 하신번영로 195,부산 사하구 하신번영로 195
1206,1등,신세계슈퍼,자동,서울 영등포구 대림로 191,서울 영등포구 대림로 191
1206,1등,대박천하복권방,수동,서울 은평구 연서로 150 1층 1호,서울 은평구 연서로 150
1206,1등,로또명당인주점,자동,충남 아산시 서해로 519-2,충남 아산시 서해로 519-2
1206,1등,복권세계,수동,서울 동작구 신대방길 8,서울 동작구 신대방길 8
1206,1등,잉크와복권,자동,서울 강서구 가로공원로76가길 12,서울 강서구 가로공원로 76가길 12
1206,1등,천만불로또복권,반자동,전북 남원시 용성로 207,전북 남원시 용성로 207
1206,1등,우성 명당 복권방,수동,경기 안산시 상록구 본오로 133 우성아파트상가 114호,경기 안산시 상록구 본오로 133
1206,1등,로또킹,자동,서울 영등포구 영중로 2 1층(영등포동3가),서울 영등포구 영중로 2
1206,1등,로또육사오,수동,경기 안산시 상록구 일동로 22 원영빌딩1층106호,경기 안산시 상록구 일동로 22
1206,1등,화신복권방,반자동,제주 제주시 중앙로 183,제주 제주시 중앙로 183
1205,1등,대박복권판매점,자동,인천 남동구 구월남로 190 101호,인천 남동구 구월남로 190
1205,1등,황금대박점,자동,대구 수성구 지범로 62 1층 복권판매점,대구 수성구 지범로 62
1205,1등,복권명당신기점,자동,대구 동구 율하동로24길 49,대구 동구 율하동로 24길 49
1205,1등,행운강림 로또방,자동,경기 안산시 상록구 반석로 54 126동 167호,경기 안산시 상록구 반석로 54
